Category,Subcategory,Detail,Activity,Description,Unit,EmissionFactor
Fuels,Gaseous fuels,Butane,,,tonnes,3033.38067
Fuels,Gaseous fuels,Butane,,,litres,1.74533
Fuels,Gaseous fuels,Butane,,,kWh (Net CV),0.24107
Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),0.22241
Fuels,Gaseous fuels,CNG,,,tonnes,2575.46441
Fuels,Gaseous fuels,CNG,,,litres,0.4507
Fuels,Gaseous fuels,CNG,,,kWh (Net CV),0.2027
Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),0.18296
Fuels,Gaseous fuels,LNG,,,tonnes,2603.30441
Fuels,Gaseous fuels,LNG,,,litres,1.17797
Fuels,Gaseous fuels,LNG,,,kWh (Net CV),0.20489
Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),0.18494
Fuels,Gaseous fuels,LPG,,,tonnes,2939.36095
Fuels,Gaseous fuels,LPG,,,litres,1.55713
Fuels,Gaseous fuels,LPG,,,kWh (Net CV),0.23032
Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),0.2145
Fuels,Gaseous fuels,Natural gas,,,tonnes,2575.46441
Fuels,Gaseous fuels,Natural gas,,,cubic metres,2.06672
Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),0.2027
Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),0.18296
Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,2603.30441
Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,2.08906
Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),0.20489
Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),0.18494
Fuels,Gaseous fuels,Other petroleum gas,,,tonnes,2578.24647
Fuels,Gaseous fuels,Other petroleum gas,,,litres,0.94442
Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Net CV),0.19917
Fuels,Gaseous fuels,Other petroleum gas,,,kWh (Gross CV),0.18323
Fuels,Gaseous fuels,Propane,,,tonnes,2997.63233
Fuels,Gaseous fuels,Propane,,,litres,1.54358
Fuels,Gaseous fuels,Propane,,,kWh (Net CV),0.23258
Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),0.2141
Fuels,Liquid fuels,Aviation spirit,,,tonnes,3193.6948
Fuels,Liquid fuels,Aviation spirit,,,litres,2.33116
Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),0.25666
Fuels,Liquid fuels,Aviation spirit,,,kWh (Gross CV),0.24382
Fuels,Liquid fuels,Aviation turbine fuel,,,tonnes,3178.3652
Fuels,Liquid fuels,Aviation turbine fuel,,,litres,2.54269
Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Net CV),0.26061
Fuels,Liquid fuels,Aviation turbine fuel,,,kWh (Gross CV),0.24758
Fuels,Liquid fuels,Burning oil,,,tonnes,3165.04181
Fuels,Liquid fuels,Burning oil,,,litres,2.54016
Fuels,Liquid fuels,Burning oil,,,kWh (Net CV),0.25975
Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),0.24677
Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,3087.94462
Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,2.57082
Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),0.25953
Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),0.24411
Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,3203.91143
Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,2.66155
Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),0.26808
Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),0.25199
Fuels,Liquid fuels,Fuel oil,,,tonnes,3228.89019
Fuels,Liquid fuels,Fuel oil,,,litres,3.17492
Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),0.28523
Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),0.26813
Fuels,Liquid fuels,Gas oil,,,tonnes,3226.57859
Fuels,Liquid fuels,Gas oil,,,litres,2.75541
Fuels,Liquid fuels,Gas oil,,,kWh (Net CV),0.27288
Fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),0.2565
Fuels,Liquid fuels,Lubricants,,,tonnes,3180.99992
Fuels,Liquid fuels,Lubricants,,,litres,2.74934
Fuels,Liquid fuels,Lubricants,,,kWh (Net CV),0.281
Fuels,Liquid fuels,Lubricants,,,kWh (Gross CV),0.26414
Fuels,Liquid fuels,Naphtha,,,tonnes,3142.3789
Fuels,Liquid fuels,Naphtha,,,litres,2.11894
Fuels,Liquid fuels,Naphtha,,,kWh (Net CV),0.24891
Fuels,Liquid fuels,Naphtha,,,kWh (Gross CV),0.23647
Fuels,Liquid fuels,Petrol (average biofuel blend),,,tonnes,2772.97935
Fuels,Liquid fuels,Petrol (average biofuel blend),,,litres,2.06916
Fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Net CV),0.23181
Fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Gross CV),0.21956
Fuels,Liquid fuels,Petrol (100% mineral petrol),,,tonnes,3154.08213
Fuels,Liquid fuels,Petrol (100% mineral petrol),,,litres,2.33984
Fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Net CV),0.25431
Fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Gross CV),0.24159
Fuels,Liquid fuels,Processed fuel oils - residual oil,,,tonnes,3228.89019
Fuels,Liquid fuels,Processed fuel oils - residual oil,,,litres,3.17492
Fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Net CV),0.28523
Fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Gross CV),0.26813
Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,tonnes,3226.57859
Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,litres,2.75541
Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Net CV),0.27288
Fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Gross CV),0.2565
Fuels,Liquid fuels,Refinery miscellaneous,,,tonnes,2944.32093
Fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Net CV),0.25961
Fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Gross CV),0.24663
Fuels,Liquid fuels,Waste oils,,,tonnes,3219.37916
Fuels,Liquid fuels,Waste oils,,,litres,2.74924
Fuels,Liquid fuels,Waste oils,,,kWh (Net CV),0.27459
Fuels,Liquid fuels,Waste oils,,,kWh (Gross CV),0.25641
Fuels,Liquid fuels,Marine gas oil,,,tonnes,3245.30441
Fuels,Liquid fuels,Marine gas oil,,,litres,2.77139
Fuels,Liquid fuels,Marine gas oil,,,kWh (Net CV),0.27445
Fuels,Liquid fuels,Marine gas oil,,,kWh (Gross CV),0.25798
Fuels,Liquid fuels,Marine fuel oil,,,tonnes,3154.75334
Fuels,Liquid fuels,Marine fuel oil,,,litres,3.10202
Fuels,Liquid fuels,Marine fuel oil,,,kWh (Net CV),0.27869
Fuels,Liquid fuels,Marine fuel oil,,,kWh (Gross CV),0.26197
Fuels,Solid fuels,Coal (industrial),,,tonnes,2395.28994
Fuels,Solid fuels,Coal (industrial),,,kWh (Net CV),0.33944
Fuels,Solid fuels,Coal (industrial),,,kWh (Gross CV),0.32246
Fuels,Solid fuels,Coal (electricity generation),,,tonnes,2225.22448
Fuels,Solid fuels,Coal (electricity generation),,,kWh (Net CV),0.33621
Fuels,Solid fuels,Coal (electricity generation),,,kWh (Gross CV),0.31939
Fuels,Solid fuels,Coal (domestic),,,tonnes,2904.95234
Fuels,Solid fuels,Coal (domestic),,,kWh (Net CV),0.36549
Fuels,Solid fuels,Coal (domestic),,,kWh (Gross CV),0.34721
Fuels,Solid fuels,Coking coal,,,tonnes,3164.65002
Fuels,Solid fuels,Coking coal,,,kWh (Net CV),0.37675
Fuels,Solid fuels,Coking coal,,,kWh (Gross CV),0.3579
Fuels,Solid fuels,Petroleum coke,,,tonnes,3386.57168
Fuels,Solid fuels,Petroleum coke,,,kWh (Net CV),0.35887
Fuels,Solid fuels,Petroleum coke,,,kWh (Gross CV),0.34092
Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,tonnes,2221.7467
Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Net CV),0.33621
Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Gross CV),0.31939
Bioenergy,Biofuel,Bioethanol,,,litres,0.00901
Bioenergy,Biofuel,Bioethanol,,,GJ,0.42339
Bioenergy,Biofuel,Bioethanol,,,kg,0.01135
Bioenergy,Biofuel,Biodiesel ME,,,litres,0.16751
Bioenergy,Biofuel,Biodiesel ME,,,GJ,5.05961
Bioenergy,Biofuel,Biodiesel ME,,,kg,0.18822
Bioenergy,Biofuel,Biomethane (compressed),,,GJ,0.10625
Bioenergy,Biofuel,Biomethane (compressed),,,kg,0.00521
Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,litres,0.16751
Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,GJ,5.05961
Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,kg,0.18822
Bioenergy,Biofuel,Biodiesel ME (from tallow),,,litres,0.16751
Bioenergy,Biofuel,Biodiesel ME (from tallow),,,GJ,5.05961
Bioenergy,Biofuel,Biodiesel ME (from tallow),,,kg,0.18822
Bioenergy,Biofuel,Biodiesel HVO,,,litres,0.03558
Bioenergy,Biofuel,Biodiesel HVO,,,GJ,1.03677
Bioenergy,Biofuel,Biodiesel HVO,,,kg,0.04562
Bioenergy,Biofuel,Biopropane,,,litres,0.00213
Bioenergy,Biofuel,Biopropane,,,GJ,0.08952
Bioenergy,Biofuel,Biopropane,,,kg,0.00415
Bioenergy,Biofuel,Development diesel,,,litres,0.03705
Bioenergy,Biofuel,Development diesel,,,GJ,1.03677
Bioenergy,Biofuel,Development diesel,,,kg,0.04461
Bioenergy,Biofuel,Development petrol,,,litres,0.01402
Bioenergy,Biofuel,Development petrol,,,GJ,0.42339
Bioenergy,Biofuel,Development petrol,,,kg,0.0189
Bioenergy,Biofuel,Off road biodiesel,,,litres,0.16751
Bioenergy,Biofuel,Off road biodiesel,,,GJ,5.05961
Bioenergy,Biofuel,Off road biodiesel,,,kg,0.18822
Bioenergy,Biofuel,Biomethane (liquified),,,GJ,0.10625
Bioenergy,Biofuel,Biomethane (liquified),,,kg,0.00521
Bioenergy,Biofuel,Methanol (bio),,,litres,0.00669
Bioenergy,Biofuel,Methanol (bio),,,GJ,0.42339
Bioenergy,Biofuel,Methanol (bio),,,kg,0.00844
Bioenergy,Biofuel,Avtur (renewable),,,litres,0.02531
Bioenergy,Biofuel,Avtur (renewable),,,GJ,0.7234
Bioenergy,Biofuel,Avtur (renewable),,,kg,0.03179
Bioenergy,Biomass,Wood logs,,,tonnes,46.98508
Bioenergy,Biomass,Wood logs,,,kWh,0.0115
Bioenergy,Biomass,Wood chips,,,tonnes,43.43964
Bioenergy,Biomass,Wood chips,,,kWh,0.0115
Bioenergy,Biomass,Wood pellets,,,tonnes,55.19389
Bioenergy,Biomass,Wood pellets,,,kWh,0.0115
Bioenergy,Biomass,Grass/straw,,,tonnes,47.35709
Bioenergy,Biomass,Grass/straw,,,kWh,0.01273
Bioenergy,Biogas,Biogas,,,tonnes,1.24314
Bioenergy,Biogas,Biogas,,,kWh,0.00022
Bioenergy,Biogas,Landfill gas,,,tonnes,0.69696
Bioenergy,Biogas,Landfill gas,,,kWh,0.0002
Refrigerant & other,Kyoto protocol products,Carbon dioxide,,Emissions including only Kyoto products,kg,1.0
Refrigerant & other,Kyoto protocol products,Carbon dioxide,,Total emissions including non-Kyoto products,kg,1.0
Refrigerant & other,Kyoto protocol products,Methane,,Emissions including only Kyoto products,kg,28.0
Refrigerant & other,Kyoto protocol products,Methane,,Total emissions including non-Kyoto products,kg,28.0
Refrigerant & other,Kyoto protocol products,Nitrous oxide,,Emissions including only Kyoto products,kg,265.0
Refrigerant & other,Kyoto protocol products,Nitrous oxide,,Total emissions including non-Kyoto products,kg,265.0
Refrigerant & other,Kyoto protocol products,HFC-23,,Emissions including only Kyoto products,kg,12400.0
Refrigerant & other,Kyoto protocol products,HFC-23,,Total emissions including non-Kyoto products,kg,12400.0
Refrigerant & other,Kyoto protocol products,HFC-32,,Emissions including only Kyoto products,kg,677.0
Refrigerant & other,Kyoto protocol products,HFC-32,,Total emissions including non-Kyoto products,kg,677.0
Refrigerant & other,Kyoto protocol products,HFC-41,,Emissions including only Kyoto products,kg,116.0
Refrigerant & other,Kyoto protocol products,HFC-41,,Total emissions including non-Kyoto products,kg,116.0
Refrigerant & other,Kyoto protocol products,HFC-125,,Emissions including only Kyoto products,kg,3170.0
Refrigerant & other,Kyoto protocol products,HFC-125,,Total emissions including non-Kyoto products,kg,3170.0
Refrigerant & other,Kyoto protocol products,HFC-134,,Emissions including only Kyoto products,kg,1120.0
Refrigerant & other,Kyoto protocol products,HFC-134,,Total emissions including non-Kyoto products,kg,1120.0
Refrigerant & other,Kyoto protocol products,HFC-134a,,Emissions including only Kyoto products,kg,1300.0
Refrigerant & other,Kyoto protocol products,HFC-134a,,Total emissions including non-Kyoto products,kg,1300.0
Refrigerant & other,Kyoto protocol products,HFC-143,,Emissions including only Kyoto products,kg,328.0
Refrigerant & other,Kyoto protocol products,HFC-143,,Total emissions including non-Kyoto products,kg,328.0
Refrigerant & other,Kyoto protocol products,HFC-143a,,Emissions including only Kyoto products,kg,4800.0
Refrigerant & other,Kyoto protocol products,HFC-143a,,Total emissions including non-Kyoto products,kg,4800.0
Refrigerant & other,Kyoto protocol products,HFC-152a,,Emissions including only Kyoto products,kg,138.0
Refrigerant & other,Kyoto protocol products,HFC-152a,,Total emissions including non-Kyoto products,kg,138.0
Refrigerant & other,Kyoto protocol products,HFC-227ea,,Emissions including only Kyoto products,kg,3350.0
Refrigerant & other,Kyoto protocol products,HFC-227ea,,Total emissions including non-Kyoto products,kg,3350.0
Refrigerant & other,Kyoto protocol products,HFC-236fa,,Emissions including only Kyoto products,kg,8060.0
Refrigerant & other,Kyoto protocol products,HFC-236fa,,Total emissions including non-Kyoto products,kg,8060.0
Refrigerant & other,Kyoto protocol products,HFC-245fa,,Emissions including only Kyoto products,kg,858.0
Refrigerant & other,Kyoto protocol products,HFC-245fa,,Total emissions including non-Kyoto products,kg,858.0
Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,,Emissions including only Kyoto products,kg,1650.0
Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,,Total emissions including non-Kyoto products,kg,1650.0
Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),,Emissions including only Kyoto products,kg,6630.0
Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),,Total emissions including non-Kyoto products,kg,6630.0
Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),,Emissions including only Kyoto products,kg,11100.0
Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),,Total emissions including non-Kyoto products,kg,11100.0
Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),,Emissions including only Kyoto products,kg,8900.0
Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),,Total emissions including non-Kyoto products,kg,8900.0
Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),,Emissions including only Kyoto products,kg,9540.0
Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),,Total emissions including non-Kyoto products,kg,9540.0
Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),,Emissions including only Kyoto products,kg,9200.0
Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),,Total emissions including non-Kyoto products,kg,9200.0
Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),,Emissions including only Kyoto products,kg,8550.0
Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),,Total emissions including non-Kyoto products,kg,8550.0
Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),,Emissions including only Kyoto products,kg,7910.0
Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),,Total emissions including non-Kyoto products,kg,7910.0
Refrigerant & other,Kyoto protocol products,PFC-9-1-18,,Emissions including only Kyoto products,kg,7190.0
Refrigerant & other,Kyoto protocol products,PFC-9-1-18,,Total emissions including non-Kyoto products,kg,7190.0
Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,,Emissions including only Kyoto products,kg,9200.0
Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,,Total emissions including non-Kyoto products,kg,9200.0
Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),,Emissions including only Kyoto products,kg,23500.0
Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),,Total emissions including non-Kyoto products,kg,23500.0
Refrigerant & other,Kyoto protocol products,HFC-152,,Emissions including only Kyoto products,kg,16.0
Refrigerant & other,Kyoto protocol products,HFC-152,,Total emissions including non-Kyoto products,kg,16.0
Refrigerant & other,Kyoto protocol products,HFC-161,,Emissions including only Kyoto products,kg,4.0
Refrigerant & other,Kyoto protocol products,HFC-161,,Total emissions including non-Kyoto products,kg,4.0
Refrigerant & other,Kyoto protocol products,HFC-236cb,,Emissions including only Kyoto products,kg,1210.0
Refrigerant & other,Kyoto protocol products,HFC-236cb,,Total emissions including non-Kyoto products,kg,1210.0
Refrigerant & other,Kyoto protocol products,HFC-236ea,,Emissions including only Kyoto products,kg,1330.0
Refrigerant & other,Kyoto protocol products,HFC-236ea,,Total emissions including non-Kyoto products,kg,1330.0
Refrigerant & other,Kyoto protocol products,HFC-245ca,,Emissions including only Kyoto products,kg,716.0
Refrigerant & other,Kyoto protocol products,HFC-245ca,,Total emissions including non-Kyoto products,kg,716.0
Refrigerant & other,Kyoto protocol products,HFC-365mfc,,Emissions including only Kyoto products,kg,804.0
Refrigerant & other,Kyoto protocol products,HFC-365mfc,,Total emissions including non-Kyoto products,kg,804.0
Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,,Emissions including only Kyoto products,kg,16100.0
Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,,Total emissions including non-Kyoto products,kg,16100.0
Refrigerant & other,Blends,R401A,,Emissions including only Kyoto products,kg,18.0
Refrigerant & other,Blends,R401A,,Emissions including only non-Kyoto products,kg,1112.0
Refrigerant & other,Blends,R401A,,Total emissions including non-Kyoto products,kg,1130.0
Refrigerant & other,Blends,R401B,,Emissions including only Kyoto products,kg,15.0
Refrigerant & other,Blends,R401B,,Emissions including only non-Kyoto products,kg,1221.0
Refrigerant & other,Blends,R401B,,Total emissions including non-Kyoto products,kg,1236.0
Refrigerant & other,Blends,R401C,,Emissions including only Kyoto products,kg,21.0
Refrigerant & other,Blends,R401C,,Emissions including only non-Kyoto products,kg,855.0
Refrigerant & other,Blends,R401C,,Total emissions including non-Kyoto products,kg,876.0
Refrigerant & other,Blends,R402A,,Emissions including only Kyoto products,kg,1902.0
Refrigerant & other,Blends,R402A,,Emissions including only non-Kyoto products,kg,669.0
Refrigerant & other,Blends,R402A,,Total emissions including non-Kyoto products,kg,2571.0
Refrigerant & other,Blends,R402B,,Emissions including only Kyoto products,kg,1205.0
Refrigerant & other,Blends,R402B,,Emissions including only non-Kyoto products,kg,1056.0
Refrigerant & other,Blends,R402B,,Total emissions including non-Kyoto products,kg,2261.0
Refrigerant & other,Blends,R403A,,Emissions including only Kyoto products,kg,1780.0
Refrigerant & other,Blends,R403A,,Emissions including only non-Kyoto products,kg,1320.0
Refrigerant & other,Blends,R403A,,Total emissions including non-Kyoto products,kg,3100.0
Refrigerant & other,Blends,R403B,,Emissions including only Kyoto products,kg,3471.0
Refrigerant & other,Blends,R403B,,Emissions including only non-Kyoto products,kg,986.0
Refrigerant & other,Blends,R403B,,Total emissions including non-Kyoto products,kg,4457.0
Refrigerant & other,Blends,R404A,,Emissions including only Kyoto products,kg,3943.0
Refrigerant & other,Blends,R404A,,Total emissions including non-Kyoto products,kg,3943.0
Refrigerant & other,Blends,R405A,,Emissions including only Kyoto products,kg,3920.0
Refrigerant & other,Blends,R405A,,Emissions including only non-Kyoto products,kg,901.0
Refrigerant & other,Blends,R405A,,Total emissions including non-Kyoto products,kg,4821.0
Refrigerant & other,Blends,R406A,,Emissions including only non-Kyoto products,kg,1780.0
Refrigerant & other,Blends,R406A,,Total emissions including non-Kyoto products,kg,1780.0
Refrigerant & other,Blends,R407A,,Emissions including only Kyoto products,kg,1923.0
Refrigerant & other,Blends,R407A,,Total emissions including non-Kyoto products,kg,1923.0
Refrigerant & other,Blends,R407B,,Emissions including only Kyoto products,kg,2547.0
Refrigerant & other,Blends,R407B,,Total emissions including non-Kyoto products,kg,2547.0
Refrigerant & other,Blends,R407C,,Emissions including only Kyoto products,kg,1624.0
Refrigerant & other,Blends,R407C,,Total emissions including non-Kyoto products,kg,1624.0
Refrigerant & other,Blends,R407D,,Emissions including only Kyoto products,kg,1487.0
Refrigerant & other,Blends,R407D,,Total emissions including non-Kyoto products,kg,1487.0
Refrigerant & other,Blends,R407E,,Emissions including only Kyoto products,kg,1425.0
Refrigerant & other,Blends,R407E,,Total emissions including non-Kyoto products,kg,1425.0
Refrigerant & other,Blends,R407F,,Emissions including only Kyoto products,kg,1674.0
Refrigerant & other,Blends,R407F,,Total emissions including non-Kyoto products,kg,1674.0
Refrigerant & other,Blends,R408A,,Emissions including only Kyoto products,kg,2430.0
Refrigerant & other,Blends,R408A,,Emissions including only non-Kyoto products,kg,827.0
Refrigerant & other,Blends,R408A,,Total emissions including non-Kyoto products,kg,3257.0
Refrigerant & other,Blends,R409A,,Emissions including only non-Kyoto products,kg,1485.0
Refrigerant & other,Blends,R409A,,Total emissions including non-Kyoto products,kg,1485.0
Refrigerant & other,Blends,R409B,,Emissions including only non-Kyoto products,kg,1474.0
Refrigerant & other,Blends,R409B,,Total emissions including non-Kyoto products,kg,1474.0
Refrigerant & other,Blends,R410A,,Emissions including only Kyoto products,kg,1924.0
Refrigerant & other,Blends,R410A,,Total emissions including non-Kyoto products,kg,1924.0
Refrigerant & other,Blends,R410B,,Emissions including only Kyoto products,kg,2048.0
Refrigerant & other,Blends,R410B,,Total emissions including non-Kyoto products,kg,2048.0
Refrigerant & other,Blends,R411A,,Emissions including only Kyoto products,kg,15.0
Refrigerant & other,Blends,R411A,,Emissions including only non-Kyoto products,kg,1540.0
Refrigerant & other,Blends,R411A,,Total emissions including non-Kyoto products,kg,1555.0
Refrigerant & other,Blends,R411B,,Emissions including only Kyoto products,kg,4.0
Refrigerant & other,Blends,R411B,,Emissions including only non-Kyoto products,kg,1654.0
Refrigerant & other,Blends,R411B,,Total emissions including non-Kyoto products,kg,1659.0
Refrigerant & other,Blends,R412A,,Emissions including only Kyoto products,kg,445.0
Refrigerant & other,Blends,R412A,,Emissions including only non-Kyoto products,kg,1727.0
Refrigerant & other,Blends,R412A,,Total emissions including non-Kyoto products,kg,2172.0
Refrigerant & other,Blends,R413A,,Emissions including only Kyoto products,kg,1945.0
Refrigerant & other,Blends,R413A,,Total emissions including non-Kyoto products,kg,1945.0
Refrigerant & other,Blends,R414A,,Emissions including only non-Kyoto products,kg,1375.0
Refrigerant & other,Blends,R414A,,Total emissions including non-Kyoto products,kg,1375.0
Refrigerant & other,Blends,R414B,,Emissions including only non-Kyoto products,kg,1274.0
Refrigerant & other,Blends,R414B,,Total emissions including non-Kyoto products,kg,1274.0
Refrigerant & other,Blends,R415A,,Emissions including only Kyoto products,kg,25.0
Refrigerant & other,Blends,R415A,,Emissions including only non-Kyoto products,kg,1443.0
Refrigerant & other,Blends,R415A,,Total emissions including non-Kyoto products,kg,1468.0
Refrigerant & other,Blends,R415B,,Emissions including only Kyoto products,kg,104.0
Refrigerant & other,Blends,R415B,,Emissions including only non-Kyoto products,kg,440.0
Refrigerant & other,Blends,R415B,,Total emissions including non-Kyoto products,kg,544.0
Refrigerant & other,Blends,R416A,,Emissions including only Kyoto products,kg,767.0
Refrigerant & other,Blends,R416A,,Emissions including only non-Kyoto products,kg,208.0
Refrigerant & other,Blends,R416A,,Total emissions including non-Kyoto products,kg,975.0
Refrigerant & other,Blends,R417A,,Emissions including only Kyoto products,kg,2127.0
Refrigerant & other,Blends,R417A,,Total emissions including non-Kyoto products,kg,2127.0
Refrigerant & other,Blends,R417B,,Emissions including only Kyoto products,kg,2742.0
Refrigerant & other,Blends,R417B,,Total emissions including non-Kyoto products,kg,2742.0
Refrigerant & other,Blends,R417C,,Emissions including only Kyoto products,kg,1643.0
Refrigerant & other,Blends,R417C,,Total emissions including non-Kyoto products,kg,1643.0
Refrigerant & other,Blends,R418A,,Emissions including only Kyoto products,kg,3.0
Refrigerant & other,Blends,R418A,,Emissions including only non-Kyoto products,kg,1690.0
Refrigerant & other,Blends,R418A,,Total emissions including non-Kyoto products,kg,1693.0
Refrigerant & other,Blends,R419A,,Emissions including only Kyoto products,kg,2688.0
Refrigerant & other,Blends,R419A,,Total emissions including non-Kyoto products,kg,2688.0
Refrigerant & other,Blends,R419B,,Emissions including only Kyoto products,kg,2161.0
Refrigerant & other,Blends,R419B,,Total emissions including non-Kyoto products,kg,2161.0
Refrigerant & other,Blends,R420A,,Emissions including only Kyoto products,kg,1144.0
Refrigerant & other,Blends,R420A,,Emissions including only non-Kyoto products,kg,238.0
Refrigerant & other,Blends,R420A,,Total emissions including non-Kyoto products,kg,1382.0
Refrigerant & other,Blends,R421A,,Emissions including only Kyoto products,kg,2385.0
Refrigerant & other,Blends,R421A,,Total emissions including non-Kyoto products,kg,2385.0
Refrigerant & other,Blends,R421B,,Emissions including only Kyoto products,kg,2890.0
Refrigerant & other,Blends,R421B,,Total emissions including non-Kyoto products,kg,2890.0
Refrigerant & other,Blends,R422A,,Emissions including only Kyoto products,kg,2847.0
Refrigerant & other,Blends,R422A,,Total emissions including non-Kyoto products,kg,2847.0
Refrigerant & other,Blends,R422B,,Emissions including only Kyoto products,kg,2290.0
Refrigerant & other,Blends,R422B,,Total emissions including non-Kyoto products,kg,2290.0
Refrigerant & other,Blends,R422C,,Emissions including only Kyoto products,kg,2794.0
Refrigerant & other,Blends,R422C,,Total emissions including non-Kyoto products,kg,2794.0
Refrigerant & other,Blends,R422D,,Emissions including only Kyoto products,kg,2473.0
Refrigerant & other,Blends,R422D,,Total emissions including non-Kyoto products,kg,2473.0
Refrigerant & other,Blends,R422E,,Emissions including only Kyoto products,kg,2350.0
Refrigerant & other,Blends,R422E,,Total emissions including non-Kyoto products,kg,2350.0
Refrigerant & other,Blends,R423A,,Emissions including only Kyoto products,kg,2274.0
Refrigerant & other,Blends,R423A,,Total emissions including non-Kyoto products,kg,2274.0
Refrigerant & other,Blends,R424A,,Emissions including only Kyoto products,kg,2212.0
Refrigerant & other,Blends,R424A,,Total emissions including non-Kyoto products,kg,2212.0
Refrigerant & other,Blends,R425A,,Emissions including only Kyoto products,kg,1431.0
Refrigerant & other,Blends,R425A,,Total emissions including non-Kyoto products,kg,1431.0
Refrigerant & other,Blends,R426A,,Emissions including only Kyoto products,kg,1371.0
Refrigerant & other,Blends,R426A,,Total emissions including non-Kyoto products,kg,1371.0
Refrigerant & other,Blends,R427A,,Emissions including only Kyoto products,kg,2024.0
Refrigerant & other,Blends,R427A,,Total emissions including non-Kyoto products,kg,2024.0
Refrigerant & other,Blends,R428A,,Emissions including only Kyoto products,kg,3417.0
Refrigerant & other,Blends,R428A,,Total emissions including non-Kyoto products,kg,3417.0
Refrigerant & other,Blends,R429A,,Emissions including only Kyoto products,kg,13.8
Refrigerant & other,Blends,R429A,,Emissions including only non-Kyoto products,kg,1.5
